id,area,roles,what_it_does,web_location,backing_routes,classification,mobile_treatment,phase,dependencies,risk,store_policy_note
RT-070,API route,server,GET|PATCH|POST / auth: bearer|PUBLIC-ALLOWLIST / rate limited / zod: enquirySchema / side effects: email|site-url,website/src/app/api/enquiry/route.ts,app/(pages)/artist-portal/enquiries/page.tsx; app/(pages)/browse/[slug]/ArtistProfileClient.tsx; components/ContactForm.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,294 lines,Low,-
RT-071,API route,server,GET|POST / auth: bearer / rate limited / zod: createSchema / side effects: email|site-url,website/src/app/api/feature-requests/route.ts,app/(pages)/feature-requests/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,148 lines,Low,-
RT-072,API route,server,POST / auth: bearer,website/src/app/api/feature-requests/[id]/upvote/route.ts,app/(pages)/feature-requests/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,44 lines,Low,-
RT-073,API route,server,GET / auth: cron,website/src/app/api/health/email/route.ts,,Kept entirely in the shared backend,Operational endpoint; a mobile sibling (WP-N-HEALTH) reports push credential health.,P3,83 lines,Low,-
RT-074,API route,server,GET / auth: bearer,website/src/app/api/me/subscription/route.ts,,Kept entirely in the shared backend,"The app's entitlement read. Extend the response with the resolved caps (works, placements, outreach, visualiser) so the app renders the right limits without three more round-trips (WP-C-ENTITLE).",P1,24 lines,HIGH,Reading an entitlement is not a purchase; no store rule applies.
RT-075,API route,server,GET|PATCH|POST / auth: bearer / authz: assertPlacementParty / zod: messageSchema / side effects: email|site-url,website/src/app/api/messages/route.ts,app/(pages)/admin/disputes/page.tsx; app/(pages)/browse/[slug]/ArtistProfileClient.tsx; app/(pages)/venue-portal/placements/page.tsx; components/Header.tsx,Reused with modification,"Add cursor paging on the conversation list and the thread (WP-C-MSGPAGE); the current shape returns everything, which is fine at 181 rows and not at 10,000. Polling is replaced by push-triggered refresh.",P1,1004 lines,HIGH,-
RT-076,API route,server,DELETE|GET|PATCH / auth: bearer / authz: assertConversationParticipant,website/src/app/api/messages/[conversationId]/route.ts,app/(pages)/admin/disputes/page.tsx; app/(pages)/browse/[slug]/ArtistProfileClient.tsx; app/(pages)/venue-portal/placements/page.tsx; components/Header.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,131 lines,Low,-
RT-077,API route,server,POST / auth: bearer / rate limited,website/src/app/api/messages/block/route.ts,components/MessageInbox.tsx,Kept entirely in the shared backend,Backs the in-app block action.,P1,52 lines,HIGH,Apple 1.2 requires blocking abusive users.
RT-078,API route,server,DELETE|PATCH / auth: bearer,website/src/app/api/messages/item/[messageId]/route.ts,components/MessageInbox.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,96 lines,Low,-
RT-079,API route,server,POST / auth: bearer / rate limited,website/src/app/api/messages/report/route.ts,components/MessageInbox.tsx,Kept entirely in the shared backend,"Backs the in-app report action, which Apple 1.2 requires for user-generated content.",P1,104 lines,HIGH,Apple 1.2 and Play UGC both require reporting.
RT-080,API route,server,GET / auth: bearer,website/src/app/api/messages/unread/route.ts,components/Header.tsx,Reused with modification,"Still needed for badge reconciliation on cold start, but the 60s poll goes; the badge comes from the push payload.",P1,50 lines,Med,-
RT-081,API route,server,POST / auth: bearer / rate limited / zod: submitSchema / side effects: email|site-url,website/src/app/api/moderation/route.ts,components/FeedbackBubble.tsx,Kept entirely in the shared backend,Backs the in-app appeal form.,P4,239 lines,Low,Apple 1.2 appeal path.
RT-082,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited / side effects: email|site-url,website/src/app/api/newsletter/route.ts,components/NewsletterForm.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,99 lines,Low,-
RT-083,API route,server,GET / auth: PUBLIC-ALLOWLIST / rate limited / zod: tokenSchema / side effects: REDIRECT-HTML|site-url,website/src/app/api/newsletter/confirm/route.ts,,Intentionally excluded,Web-shaped GET redirect opened from an email client.,Web only,122 lines,Low,-
RT-084,API route,server,GET|PATCH / auth: bearer,website/src/app/api/notifications/route.ts,components/Header.tsx,Reused with modification,Add cursor paging. The bell becomes the Activity tab; idempotency_key is what stops a push and a bell duplicating.,P1,80 lines,Med,-
RT-085,API route,server,GET|POST / auth: bearer / zod: createSchema / side effects: email|bell|site-url,website/src/app/api/offers/route.ts,components/CounterOfferDialog.tsx; components/MessageInbox.tsx; components/offers/MakeOfferModal.tsx; components/offers/OffersList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,583 lines,Low,-
RT-086,API route,server,GET|PATCH / auth: bearer / zod: patchSchema / side effects: email|bell|site-url,website/src/app/api/offers/[id]/route.ts,components/CounterOfferDialog.tsx; components/MessageInbox.tsx; components/offers/MakeOfferModal.tsx; components/offers/OffersList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,338 lines,Low,-
RT-087,API route,server,POST / auth: bearer / side effects: stripe|site-url,website/src/app/api/offers/[id]/checkout/route.ts,components/CounterOfferDialog.tsx; components/MessageInbox.tsx; components/offers/MakeOfferModal.tsx; components/offers/OffersList.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,351 lines,Low,-
RT-088,API route,server,GET|PATCH / auth: bearer / authz: assertOrderParty / side effects: email|bell|site-url,website/src/app/api/orders/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/orders/page.tsx; app/(pages)/customer-portal/page.tsx; app/(pages)/orders/[id]/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,692 lines,Low,-
RT-089,API route,server,GET|POST / auth: bearer,website/src/app/api/orders/[id]/events/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/orders/page.tsx; app/(pages)/customer-portal/page.tsx; app/(pages)/orders/[id]/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,210 lines,Low,-
RT-090,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited,website/src/app/api/orders/track/route.ts,app/(pages)/orders/track/page.tsx,Kept entirely in the shared backend,"The guest tracking token is passed through from the universal link, never re-minted client-side.",P2,115 lines,Med,-
RT-091,API route,server,GET / auth: bearer,website/src/app/api/outreach/allowance/route.ts,components/OutreachAllowance.tsx,Kept entirely in the shared backend,Read by the outreach badge on the Spaces list and the placement request sheet.,P2,45 lines,Med,-
RT-092,API route,server,DELETE|GET|PATCH|POST / auth: bearer / authz: assertNoServerOwned / zod: placementUpdateSchema / side effects: email|bell|site-url,website/src/app/api/placements/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Reused with modification,"Add cursor paging and a state filter so the list screen does not read all 91 rows and grow. Everything else, including the outreach cap on created_by_user_id, is unchanged.",P1,2679 lines,HIGH,-
RT-093,API route,server,GET / auth: bearer,website/src/app/api/placements/[id]/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,140 lines,Low,-
RT-094,API route,server,GET / auth: bearer,website/src/app/api/placements/[id]/history/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,53 lines,Low,-
RT-095,API route,server,POST / auth: bearer / side effects: stripe|site-url,website/src/app/api/placements/[id]/payment/setup/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,192 lines,Low,-
RT-096,API route,server,DELETE|POST / auth: bearer / zod: addSchema / side effects: bell,website/src/app/api/placements/[id]/photos/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,103 lines,Low,-
RT-097,API route,server,PUT / auth: bearer / zod: recordSchema / side effects: email|bell|site-url,website/src/app/api/placements/[id]/record/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,393 lines,Low,-
RT-098,API route,server,GET|POST / auth: bearer / zod: bodySchema / side effects: email|bell|site-url,website/src/app/api/placements/[id]/review/route.ts,app/(pages)/artist-portal/analytics/page.tsx; app/(pages)/artist-portal/labels/page.tsx; app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/posts/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,210 lines,Low,-
RT-099,API route,server,GET / auth: bearer,website/src/app/api/placements/venues/route.ts,app/(pages)/artist-portal/placements/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,110 lines,Low,-
RT-100,API route,server,GET / auth: PUBLIC / side effects: analytics|REDIRECT-HTML|site-url,website/src/app/api/qr/[slug]/route.ts,,Reused with modification,"Web-shaped: it 302s to an HTML page and the browser stores the claim in localStorage. On mobile the universal link handler must intercept /api/qr/* BEFORE the redirect, read vs/w/t/size, call the route with a header asking for JSON (WP-C-QRJSON), and write the venue attribution claim to Keychain/Keystore under the same 24h TTL. Losing this chain zeroes venue revenue share silently.",P1,121 lines,HIGH,-
RT-101,API route,server,GET / auth: bearer,website/src/app/api/refunds/route.ts,app/(pages)/admin/refunds/page.tsx; app/(pages)/artist-portal/orders/page.tsx; app/(pages)/customer-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,73 lines,Low,-
RT-102,API route,server,POST / auth: admin|bearer / side effects: email|bell|stripe|site-url,website/src/app/api/refunds/process/route.ts,app/(pages)/admin/refunds/page.tsx; app/(pages)/artist-portal/orders/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,583 lines,Low,-
RT-103,API route,server,POST / auth: bearer / side effects: email|bell|site-url,website/src/app/api/refunds/request/route.ts,app/(pages)/artist-portal/orders/page.tsx; app/(pages)/customer-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,244 lines,Low,-
RT-104,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited / zod: registerVenueSchema / side effects: email,website/src/app/api/register-venue/route.ts,app/(pages)/signup/venue/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,140 lines,Low,-
RT-105,API route,server,DELETE|GET|POST / auth: bearer,website/src/app/api/saved/route.ts,app/(pages)/artist-portal/saved/page.tsx; app/(pages)/customer-portal/saved/page.tsx; app/(pages)/venue-portal/placements/page.tsx; context/SavedContext.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,95 lines,Low,-
RT-106,API route,server,GET / auth: PUBLIC / rate limited,website/src/app/api/stats/public/route.ts,,Kept entirely in the shared backend,Consumed by the signed-out home feed.,P1,58 lines,Low,-
RT-107,API route,server,POST / auth: bearer / side effects: stripe,website/src/app/api/stripe-connect/dashboard/route.ts,app/(pages)/artist-portal/billing/page.tsx; app/(pages)/venue-portal/settings/page.tsx,Reused with modification,Same in-app browser treatment as onboarding.,P2,39 lines,Low,-
RT-108,API route,server,POST / auth: bearer / side effects: stripe|site-url,website/src/app/api/stripe-connect/onboard/route.ts,app/(pages)/artist-portal/billing/page.tsx; app/(pages)/venue-portal/settings/page.tsx,Reused with modification,Returns a Stripe-hosted URL. The app opens it in SFSafariViewController or Custom Tabs and returns via the universal link on ?stripe_connect=complete. Payouts to the artist are not a purchase.,P2,127 lines,Med,Neither store treats a payout onboarding flow as a purchase.
RT-109,API route,server, / auth: cron,website/src/app/api/stripe-connect/process-pending/route.ts,,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,54 lines,Low,-
RT-110,API route,server,GET / auth: bearer / side effects: stripe,website/src/app/api/stripe-connect/status/route.ts,app/(pages)/artist-portal/billing/page.tsx; app/(pages)/artist-portal/page.tsx; app/(pages)/venue-portal/page.tsx; app/(pages)/venue-portal/settings/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,42 lines,Low,-
RT-111,API route,server,POST / auth: bearer / side effects: stripe|site-url,website/src/app/api/subscribe/route.ts,app/(pages)/artist-portal/billing/page.tsx,Kept entirely in the shared backend,"Never called from the app on iOS. On the web it is unchanged. If store billing is ever adopted it gains a sibling route, not a branch (WP-C-SUBSRC).",Web only,118 lines,HIGH,Apple 3.1.1: an app that called this would be selling a subscription outside in-app purchase.
RT-112,API route,server,POST / auth: bearer / side effects: stripe|site-url,website/src/app/api/subscribe/portal/route.ts,app/(pages)/artist-portal/billing/page.tsx,Kept entirely in the shared backend,"Not called from the iOS app: the Billing Portal is where a subscription is cancelled and changed, which is a purchase surface. Cancellation copy in the app names the channel instead.",Web only,34 lines,HIGH,Apple 3.1.1 and 3.1.3.
RT-113,API route,server,POST / auth: bearer / rate limited / zod: termsAcceptSchema,website/src/app/api/terms/accept/route.ts,app/(pages)/signup/artist/page.tsx; app/(pages)/signup/customer/page.tsx; app/(pages)/signup/venue/page.tsx; components/ApplicationForm.tsx,Kept entirely in the shared backend,Records TERMS_VERSION at in-app signup exactly as the web does.,P1,97 lines,Med,-
RT-114,API route,server,GET|PATCH|POST|PUT / auth: bearer,website/src/app/api/venue-profile/route.ts,app/(pages)/curated/CuratedClient.tsx; app/(pages)/spaces/page.tsx; app/(pages)/venue-portal/labels/page.tsx; app/(pages)/venue-portal/profile/page.tsx,Reused with modification,"The self-heal on first verified login must run in the app too, or a venue that signs up on the phone has no profile row. accepts_artist_outreach currently writes via supabase.auth.updateUser from the client; move it to this route (WP-C-OUTREACH).",P1,316 lines,HIGH,-
RT-115,API route,server,GET / auth: bearer-optional,website/src/app/api/venues/[slug]/route.ts,app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/walls/propose/[wallId]/page.tsx; app/(pages)/spaces/page.tsx; app/(pages)/venues/[slug]/VenueProfileBody.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,94 lines,Low,-
RT-116,API route,server,GET / auth: bearer-optional,website/src/app/api/venues/[slug]/profile/route.ts,app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/walls/propose/[wallId]/page.tsx; app/(pages)/spaces/page.tsx; app/(pages)/venues/[slug]/VenueProfileBody.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,258 lines,Low,-
RT-117,API route,server,GET / auth: bearer-optional,website/src/app/api/venues/[slug]/walls/[wallId]/route.ts,app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/walls/propose/[wallId]/page.tsx; app/(pages)/spaces/page.tsx; app/(pages)/venues/[slug]/VenueProfileBody.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,65 lines,Low,-
RT-118,API route,server,"POST / auth: bearer / authz: assertOwnsArtistProfile / zod: itemsSchema,placementIdSchema",website/src/app/api/venues/[slug]/walls/[wallId]/proposals/route.ts,app/(pages)/artist-portal/placements/page.tsx; app/(pages)/artist-portal/walls/propose/[wallId]/page.tsx; app/(pages)/spaces/page.tsx; app/(pages)/venues/[slug]/VenueProfileBody.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,240 lines,Low,-
RT-119,API route,server,GET / auth: bearer-optional / rate limited,website/src/app/api/venues/demand/route.ts,app/(pages)/spaces/page.tsx,Kept entirely in the shared backend,redactDemandVenue and coarsenCoordinates apply unchanged. The app must never widen the projection.,P2,176 lines,HIGH,-
RT-120,API route,server,POST / auth: PUBLIC-ALLOWLIST / rate limited / zod: waitlistSchema / side effects: email,website/src/app/api/waitlist/route.ts,app/waitlist/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,90 lines,Low,-
RT-121,API route,server,GET|POST / auth: bearer / zod: createWallSchema,website/src/app/api/walls/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,175 lines,Low,-
RT-122,API route,server,DELETE|GET|PATCH / auth: bearer|PUBLIC-ALLOWLIST / zod: updateWallSchema,website/src/app/api/walls/[id]/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,131 lines,Low,-
RT-123,API route,server,GET|POST / auth: bearer / zod: createLayoutSchema,website/src/app/api/walls/[id]/layouts/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,150 lines,Low,-
RT-124,API route,server,DELETE|GET|PATCH / auth: bearer / zod: updateLayoutSchema,website/src/app/api/walls/[id]/layouts/[lid]/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,128 lines,Low,-
RT-125,API route,server,POST / auth: bearer / rate limited,website/src/app/api/walls/[id]/layouts/[lid]/preview/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,199 lines,Low,-
RT-126,API route,server,POST / auth: bearer / zod: renderRequestSchema,website/src/app/api/walls/[id]/layouts/[lid]/render/route.ts,app/(pages)/artist-portal/showroom/[id]/page.tsx; app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/artist-portal/showroom/page.tsx; app/(pages)/venue-portal/page.tsx,Kept entirely in the shared backend,"Server-side sharp compositor. No client calls it today (verified: zero call sites in src/components or src/app pages), so the app inherits nothing. Flagged as a separate cleanup, not this plan's work.",P3,282 lines,Low,-
RT-127,API route,server,GET / auth: bearer,website/src/app/api/walls/my-works/route.ts,components/visualizer/WallVisualizer.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,155 lines,Low,-
RT-128,API route,server,GET / auth: bearer,website/src/app/api/walls/quota/route.ts,,Kept entirely in the shared backend,"Read by the WebView editor, unchanged.",P3,56 lines,Low,-
RT-129,API route,server,POST / auth: bearer / zod: quickRenderRequestSchema,website/src/app/api/walls/render-quick/route.ts,,Kept entirely in the shared backend,Same as above; no client call site.,P3,309 lines,Low,-
RT-130,API route,server,GET / auth: bearer,website/src/app/api/walls/saved-works/route.ts,components/visualizer/WallVisualizer.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,108 lines,Low,-
RT-131,API route,server,POST / auth: bearer / rate limited,website/src/app/api/walls/upload-photo/route.ts,app/(pages)/artist-portal/showroom/new/page.tsx; app/(pages)/venue-portal/walls/new/page.tsx,Reused with modification,"15MB cap against Vercel's 4.5MB request body limit means the app must resize before upload, matching resizeImage's 2000px and WebP output. HEIC from an iPhone camera must be transcoded client-side first.",P2,259 lines,Med,-
RT-132,API route,server,POST / auth: webhook-sig|PUBLIC-ALLOWLIST / side effects: email,website/src/app/api/webhooks/resend/route.ts,,Kept entirely in the shared backend,Unchanged.,P2,219 lines,Low,-
RT-133,API route,server,POST / auth: webhook-sig|PUBLIC-ALLOWLIST / authz: assertLegsReconcile / side effects: email|bell|stripe|site-url,website/src/app/api/webhooks/stripe/route.ts,,Reused with modification,"Gains a payment_intent.succeeded branch that calls the same fulfilment function as checkout.session.completed, and (only if store billing is ever adopted) sibling routes for App Store Server Notifications V2 and Play RTDN.",P2,3248 lines,HIGH,-
RT-134,API route,server,POST / auth: webhook-sig|PUBLIC-ALLOWLIST / side effects: email,website/src/app/api/webhooks/supabase/route.ts,,Kept entirely in the shared backend,Unchanged.,P2,84 lines,Low,-
RT-135,API route,server,DELETE|POST / auth: bearer / zod: saveMockupSchema,website/src/app/api/works/[id]/mockups/route.ts,components/visualizer/WallVisualizer.tsx,Kept entirely in the shared backend,"Consumed by the app exactly as the web consumes it: same method, same schema, same error contract. No change needed.",P2,290 lines,Low,-
CR-001,Background job,server,daily 10:00: Re-engagement for dormant accounts,website/vercel.json,/api/cron/inactive-users,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-002,Background job,server,daily 10:00: Onboarding step nudges,website/vercel.json,/api/cron/onboarding-nudges,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-003,Background job,server,daily 12:00: Delivery follow-up,website/vercel.json,/api/cron/order-delivery-followup,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-004,Background job,server,daily 10:00: Placement end-date reminder,website/vercel.json,/api/cron/placement-ending-soon,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-005,Background job,server,daily 11:00: Post-completion review request,website/vercel.json,/api/cron/placement-review-request,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-006,Background job,server,"monthly, 1st 09:00: Quarterly programme rent settlement",website/vercel.json,/api/cron/programme-rent-settlement,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-007,Background job,server,daily 09:00: Daily QR scan digest,website/vercel.json,/api/cron/qr-scan-digest,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-008,Background job,server,daily 10:30: Referral fee-free window ending,website/vercel.json,/api/cron/referral-window,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-009,Background job,server,daily 07:30: Re-read Stripe and reconcile subscription_status,website/vercel.json,/api/cron/subscription-reconcile,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-010,Background job,server,Tue 09:00: Weekly artist performance digest,website/vercel.json,/api/cron/weekly-artist-digest,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-011,Background job,server,Wed 09:00: Weekly venue digest with artist matches,website/vercel.json,/api/cron/weekly-venue-digest,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
CR-012,Background job,server,daily 08:00: Release held transfers after the 14-day hold,website/vercel.json,/api/stripe-connect/process-pending,Kept entirely in the shared backend,"Scheduled job, unchanged. Its user-visible output (email and bell) gains a push where appendix C says so; the schedule itself never moves to the client.",P2,CRON_SECRET,Low,-
EM-001,Email family,"artist,venue",6 templates in category digests,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Email unchanged. A single low-priority daily push for the QR digest only, because a weekly performance summary is a reading task, not an interruption.",P2,src/lib/email/categories.ts,Low,-
EM-002,Email family,multi,13 templates in category legal,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Unchanged. In-app, the legal route renders the same text so a user can read what changed.",P1,src/lib/email/categories.ts,Med,-
EM-003,Email family,multi,2 templates in category messages,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Push replaces the email as the primary channel for anyone with the app installed and push granted. The email still sends when no device token is registered or push is denied, so nobody silently stops being told.",P1,src/lib/email/categories.ts,HIGH,-
EM-004,Email family,multi,8 templates in category newsletter,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,Email unchanged. No push. No in-app surface.,Web only,src/lib/email/categories.ts,Low,-
EM-005,Email family,multi,71 templates in category orders_and_payouts,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Unchanged as email. Each one that names an order or a placement gains a push per appendix C, and its link becomes a universal link into the native screen. criticalAlwaysSend means the push must not be suppressible either.",P2,src/lib/email/categories.ts,HIGH,-
EM-006,Email family,multi,22 templates in category placements,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Unchanged as email, plus push. The preference toggle placements_enabled governs both the email and the push, so a user who turns it off is not pushed instead.",P1,src/lib/email/categories.ts,HIGH,-
EM-007,Email family,system,1 templates in category platform_admin,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,Email unchanged. Optionally a push to the owner's own device (WP-X-ADMINPUSH).,P4,src/lib/email/categories.ts,Low,-
EM-008,Email family,multi,9 templates in category promotions,website/src/emails/templates/,website/src/lib/email/send.ts,Reused with modification,"Email unchanged. No push in v1. If promotional push is ever added it needs its own opt-in, separate from transactional push.",P4,src/lib/email/categories.ts,Med,-
